timestamp,site,connected,total,expected_total,status,note
2025-08-31 11:20:21,AmHahita,92,92,2,CHECK,Total mismatch (expected 2)
2025-08-31 11:20:35,BeitAmpha,92,92,3,CHECK,Total mismatch (expected 3)
2025-08-31 11:20:48,EinYahav,92,92,80,CHECK,Total mismatch (expected 80)
2025-08-31 11:21:02,Gadot,92,92,121,CHECK,Total mismatch (expected 121)
2025-08-31 11:21:16,GesherWest,92,92,43,CHECK,Total mismatch (expected 43)
2025-08-31 11:21:30,Holit,92,92,30,CHECK,Total mismatch (expected 30)
2025-08-31 11:21:44,Gvaram,92,92,75,CHECK,Total mismatch (expected 75)
2025-08-31 11:21:58,Holata,92,92,95,CHECK,Total mismatch (expected 95)
2025-08-31 11:22:12,MaaleGilboa2,92,92,6,CHECK,Total mismatch (expected 6)
2025-08-31 11:22:26,KfarRupin,92,92,8,CHECK,Total mismatch (expected 8)
2025-08-31 11:22:40,Kisufim,92,92,79,CHECK,Total mismatch (expected 79)
2025-08-31 11:22:54,MaaleGilboa1,92,92,8,CHECK,Total mismatch (expected 8)
2025-08-31 11:23:07,Meirav,92,92,8,CHECK,Total mismatch (expected 8)
2025-08-31 11:23:20,Metronit,92,92,1,CHECK,Total mismatch (expected 1)
2025-08-31 11:23:34,Metronit1,92,92,4,CHECK,Total mismatch (expected 4)
2025-08-31 11:28:48,Warburg3,92,92,66,CHECK,Total mismatch (expected 66)
2025-08-31 11:29:01,Zikim,92,92,82,CHECK,Total mismatch (expected 82)
2025-08-31 11:29:14,Warburg2,92,92,92,OK,All connected
2025-08-31 11:29:28,Yahel,92,92,92,OK,All connected
2025-08-31 11:29:41,Tidhar,92,92,134,CHECK,Total mismatch (expected 134)
2025-08-31 11:29:55,AmHahita,92,92,2,CHECK,Total mismatch (expected 2)
2025-08-31 11:30:08,BeitAmpha,92,92,3,CHECK,Total mismatch (expected 3)
2025-08-31 11:30:22,EinYahav,92,92,80,CHECK,Total mismatch (expected 80)
2025-08-31 11:30:35,Gadot,92,92,121,CHECK,Total mismatch (expected 121)
2025-08-31 11:30:49,GesherWest,92,92,43,CHECK,Total mismatch (expected 43)
2025-08-31 11:31:02,Holit,92,92,30,CHECK,Total mismatch (expected 30)
2025-08-31 11:31:16,Gvaram,92,92,75,CHECK,Total mismatch (expected 75)
2025-08-31 11:31:30,Holata,92,92,95,CHECK,Total mismatch (expected 95)
2025-08-31 11:31:43,MaaleGilboa2,92,92,6,CHECK,Total mismatch (expected 6)
2025-08-31 11:31:57,KfarRupin,92,92,8,CHECK,Total mismatch (expected 8)
2025-08-31 11:32:11,Kisufim,92,92,79,CHECK,Total mismatch (expected 79)
2025-08-31 11:32:25,MaaleGilboa1,92,92,8,CHECK,Total mismatch (expected 8)
2025-08-31 11:32:38,Meirav,92,92,8,CHECK,Total mismatch (expected 8)
2025-08-31 11:32:51,Metronit,92,92,1,CHECK,Total mismatch (expected 1)
2025-08-31 11:33:05,Metronit1,92,92,4,CHECK,Total mismatch (expected 4)
2025-08-31 11:38:18,Warburg3,92,92,66,CHECK,Total mismatch (expected 66)
2025-08-31 11:38:32,Zikim,92,92,82,CHECK,Total mismatch (expected 82)
2025-08-31 11:38:46,Warburg2,92,92,92,OK,All connected
2025-08-31 11:39:00,Yahel,92,92,92,OK,All connected
2025-08-31 11:39:15,Tidhar,92,92,134,CHECK,Total mismatch (expected 134)
2025-08-31 11:39:29,AmHahita,92,92,2,CHECK,Total mismatch (expected 2)
2025-08-31 11:39:43,BeitAmpha,92,92,3,CHECK,Total mismatch (expected 3)
2025-08-31 11:39:57,EinYahav,92,92,80,CHECK,Total mismatch (expected 80)
2025-08-31 11:40:12,Gadot,92,92,121,CHECK,Total mismatch (expected 121)
2025-08-31 11:40:26,GesherWest,92,92,43,CHECK,Total mismatch (expected 43)
2025-08-31 11:40:40,Holit,92,92,30,CHECK,Total mismatch (expected 30)
2025-08-31 11:40:55,Gvaram,92,92,75,CHECK,Total mismatch (expected 75)
2025-08-31 11:41:09,Holata,92,92,95,CHECK,Total mismatch (expected 95)
2025-08-31 11:41:23,MaaleGilboa2,92,92,6,CHECK,Total mismatch (expected 6)
2025-08-31 11:41:37,KfarRupin,92,92,8,CHECK,Total mismatch (expected 8)
2025-08-31 11:41:51,Kisufim,92,92,79,CHECK,Total mismatch (expected 79)
2025-08-31 11:42:05,MaaleGilboa1,92,92,8,CHECK,Total mismatch (expected 8)
2025-08-31 11:42:20,Meirav,92,92,8,CHECK,Total mismatch (expected 8)
2025-08-31 11:42:34,Metronit,92,92,1,CHECK,Total mismatch (expected 1)
2025-08-31 11:42:48,Metronit1,92,92,4,CHECK,Total mismatch (expected 4)
2025-08-31 11:48:02,Warburg3,92,92,66,CHECK,Total mismatch (expected 66)
2025-08-31 11:48:16,Zikim,92,92,82,CHECK,Total mismatch (expected 82)
2025-08-31 11:48:31,Warburg2,92,92,92,OK,All connected
2025-08-31 11:48:45,Yahel,92,92,92,OK,All connected
2025-08-31 11:49:00,Tidhar,92,92,134,CHECK,Total mismatch (expected 134)
2025-08-31 11:49:14,AmHahita,92,92,2,CHECK,Total mismatch (expected 2)
2025-08-31 11:49:28,BeitAmpha,92,92,3,CHECK,Total mismatch (expected 3)
2025-08-31 11:49:43,EinYahav,92,92,80,CHECK,Total mismatch (expected 80)
2025-08-31 11:49:57,Gadot,92,92,121,CHECK,Total mismatch (expected 121)
2025-08-31 11:50:11,GesherWest,92,92,43,CHECK,Total mismatch (expected 43)
2025-08-31 11:50:26,Holit,92,92,30,CHECK,Total mismatch (expected 30)
2025-08-31 11:50:40,Gvaram,92,92,75,CHECK,Total mismatch (expected 75)
2025-08-31 11:50:55,Holata,92,92,95,CHECK,Total mismatch (expected 95)
2025-08-31 11:51:09,MaaleGilboa2,92,92,6,CHECK,Total mismatch (expected 6)
2025-08-31 11:51:23,KfarRupin,92,92,8,CHECK,Total mismatch (expected 8)
2025-08-31 11:51:37,Kisufim,92,92,79,CHECK,Total mismatch (expected 79)
2025-08-31 11:51:52,MaaleGilboa1,92,92,8,CHECK,Total mismatch (expected 8)
2025-08-31 11:52:06,Meirav,92,92,8,CHECK,Total mismatch (expected 8)
2025-08-31 11:52:20,Metronit,92,92,1,CHECK,Total mismatch (expected 1)
2025-08-31 11:52:35,Metronit1,92,92,4,CHECK,Total mismatch (expected 4)
2025-08-31 11:57:49,Warburg3,92,92,66,CHECK,Total mismatch (expected 66)
2025-08-31 11:58:03,Zikim,92,92,82,CHECK,Total mismatch (expected 82)
2025-08-31 11:58:17,Warburg2,92,92,92,OK,All connected
2025-08-31 11:58:32,Yahel,92,92,92,OK,All connected
2025-08-31 11:58:46,Tidhar,92,92,134,CHECK,Total mismatch (expected 134)
2025-08-31 11:59:01,AmHahita,92,92,2,CHECK,Total mismatch (expected 2)
2025-08-31 11:59:15,BeitAmpha,92,92,3,CHECK,Total mismatch (expected 3)
2025-08-31 11:59:30,EinYahav,92,92,80,CHECK,Total mismatch (expected 80)
2025-08-31 11:59:44,Gadot,92,92,121,CHECK,Total mismatch (expected 121)
2025-08-31 11:59:58,GesherWest,92,92,43,CHECK,Total mismatch (expected 43)
2025-08-31 12:00:13,Holit,92,92,30,CHECK,Total mismatch (expected 30)
2025-08-31 12:00:27,Gvaram,92,92,75,CHECK,Total mismatch (expected 75)
2025-08-31 12:00:42,Holata,92,92,95,CHECK,Total mismatch (expected 95)
2025-08-31 12:00:56,MaaleGilboa2,92,92,6,CHECK,Total mismatch (expected 6)
2025-08-31 12:01:10,KfarRupin,92,92,8,CHECK,Total mismatch (expected 8)
2025-08-31 12:01:25,Kisufim,92,92,79,CHECK,Total mismatch (expected 79)
2025-08-31 12:01:39,MaaleGilboa1,92,92,8,CHECK,Total mismatch (expected 8)
2025-08-31 12:01:54,Meirav,92,92,8,CHECK,Total mismatch (expected 8)
2025-08-31 12:02:09,Metronit,92,92,1,CHECK,Total mismatch (expected 1)
2025-08-31 12:02:24,Metronit1,92,92,4,CHECK,Total mismatch (expected 4)
2025-08-31 12:07:40,Warburg3,92,92,66,CHECK,Total mismatch (expected 66)
2025-08-31 12:07:55,Zikim,92,92,82,CHECK,Total mismatch (expected 82)
2025-08-31 12:08:09,Warburg2,92,92,92,OK,All connected
2025-08-31 12:08:24,Yahel,92,92,92,OK,All connected
2025-08-31 12:08:38,Tidhar,92,92,134,CHECK,Total mismatch (expected 134)
2025-08-31 12:08:53,AmHahita,92,92,2,CHECK,Total mismatch (expected 2)
2025-08-31 12:09:08,BeitAmpha,92,92,3,CHECK,Total mismatch (expected 3)
2025-08-31 12:09:22,EinYahav,92,92,80,CHECK,Total mismatch (expected 80)
2025-08-31 12:09:37,Gadot,92,92,121,CHECK,Total mismatch (expected 121)
2025-08-31 12:09:51,GesherWest,92,92,43,CHECK,Total mismatch (expected 43)
2025-08-31 12:10:06,Holit,92,92,30,CHECK,Total mismatch (expected 30)
2025-08-31 12:10:21,Gvaram,92,92,75,CHECK,Total mismatch (expected 75)
2025-08-31 12:10:35,Holata,92,92,95,CHECK,Total mismatch (expected 95)
2025-08-31 12:10:50,MaaleGilboa2,92,92,6,CHECK,Total mismatch (expected 6)
2025-08-31 12:11:04,KfarRupin,92,92,8,CHECK,Total mismatch (expected 8)
2025-08-31 12:11:19,Kisufim,92,92,79,CHECK,Total mismatch (expected 79)
2025-08-31 12:11:33,MaaleGilboa1,92,92,8,CHECK,Total mismatch (expected 8)
2025-08-31 12:11:48,Meirav,92,92,8,CHECK,Total mismatch (expected 8)
2025-08-31 12:12:02,Metronit,92,92,1,CHECK,Total mismatch (expected 1)
2025-08-31 12:12:17,Metronit1,92,92,4,CHECK,Total mismatch (expected 4)
2025-08-31 12:17:31,Warburg3,46,92,66,CHECK,Total mismatch (expected 66)
2025-08-31 12:17:46,Zikim,0,92,82,CHECK,Total mismatch (expected 82)
2025-08-31 12:18:01,Warburg2,0,92,92,WARN,Some disconnected
2025-08-31 12:18:17,Yahel,0,92,92,WARN,Some disconnected
2025-08-31 12:18:31,Tidhar,0,92,134,CHECK,Total mismatch (expected 134)
2025-08-31 12:18:47,AmHahita,0,92,2,CHECK,Total mismatch (expected 2)
2025-08-31 12:19:01,BeitAmpha,0,92,3,CHECK,Total mismatch (expected 3)
2025-08-31 12:19:16,EinYahav,0,92,80,CHECK,Total mismatch (expected 80)
2025-08-31 12:19:30,Gadot,0,92,121,CHECK,Total mismatch (expected 121)
2025-08-31 12:19:45,GesherWest,0,92,43,CHECK,Total mismatch (expected 43)
2025-08-31 12:19:59,Holit,0,92,30,CHECK,Total mismatch (expected 30)
2025-08-31 12:20:14,Gvaram,0,92,75,CHECK,Total mismatch (expected 75)
2025-08-31 12:20:29,Holata,0,92,95,CHECK,Total mismatch (expected 95)
